label,text
suggestFix,81|354|15|354
suggestFix,81|354|7|378|8
suggestFix,63|354|7|354|8|16
no,62|354|79|354|16
suggestFix,81|354|15|354
no,62|354|16
suggestFix,64|354|16
suggestFix,354|15|354|7|354|14|354|8
suggestFix,63|354|7|354|8|16
no,61|16
suggestFix,354|30|354|15|354|7|378|14|378|8
suggestFix,70|354
no,62|354|16
suggestFix,63|354|7|354|14|208|8|16
suggestFix,70|354
suggestFix,354|15|354|15|354|7|378|8
suggestFix,354|30|354|15|354|7|8|11|358|12
no,62|354|16
suggestFix,70|354
no,61|16
suggestFix,63|354|7|354|14|354|8|16
suggestFix,354|15|354|7|378|14|354|14|378|8
suggestFix,81|354|15|354
no,62|354|15|354|16
suggestFix,63|354|7|354|8|16
suggestFix,64|354|7|354|15|354|8|16
suggestFix,64|354|7|354|8|16
no,61|16
suggestFix,354|15|354|30|354|7|354|15|354|8
no,61|16
suggestFix,63|354|7|354|8|16
suggestFix,64|354|7|153|8|16
suggestFix,64|354|7|354|8|16
no,61|16
no,62|354|16
suggestFix,63|354|7|354|8|16
no,61|16
no,62|354|16
no,62|354|16
suggestFix,81|354|15|354
suggestFix,354|30|354|11|379|12|17|354|11|379|12
no,61|16
suggestFix,63|354|7|8|16
no,62|354|15|354|16
suggestFix,56|150|16
suggestFix,354|30|379|25|354
suggestFix,63|354|7|354|8|16
suggestFix,56|354|15|354|16
suggestFix,70|354
suggestFix,63|354|7|354|8|16
suggestFix,64|354|7|354|8|16
suggestFix,63|354|7|354|14|354|14|354|14|354|14|354|30|354|8|16
suggestFix,80|85|7|354|7|378|14|378|25|354|8|14|378|8|79|354|16
suggestFix,63|354|7|354|8|16
suggestFix,63|354|7|354|14|22|354|8|16
no,62|354|15|354|16
no,61|16
suggestFix,63|354|7|354|8|16
suggestFix,63|354|7|8|16
suggestFix,354|30|354|15|354|7|354|8
no,61|16
suggestFix,63|354|7|354|8|16
suggestFix,64|354|7|354|15|354|8|16
no,62|16
suggestFix,354|15|354|30|354|15|354|7|354|8
no,62|7|354|14|354|8|16
suggestFix,379|25|354|8
suggestFix,354|15|354|7|379|14|354|15|354|15|354|8
suggestFix,56|354|53|52|354|51|354|37|378|51
suggestFix,64|354|7|354|15|354|8|16
suggestFix,63|354|7|354|8|16
no,62|354|16
no,62|354|16
suggestFix,63|354|7|354|8|16
no,62|354|16
suggestFix,56|354|33|354|16
no,61|16
no,62|354|16
suggestFix,63|354|7|354|14|354|14|157|14|354|30|354|8|16
suggestFix,70|354|15|354
suggestFix,56|354|33|378|16
no,62|354|16
no,61|16
suggestFix,354|30|354|15|354|7|379|14|379|8|15|354|7|379|14|379|8|15|354|7|379|14|379|8
suggestFix,81|354
suggestFix,80|85|7|354|15|354|14|378|8|79|354|16
suggestFix,70|354
suggestFix,63|354|7|354|8|16
suggestFix,63|354|7|354|8|16
suggestFix,63|354|7|354|14|354|8|16
no,61|16
suggestFix,354|30|381
no,61|16
no,61|16
no,62|354|16
no,61|16
suggestFix,63|354|7|354|8|16
no,62|354|16
suggestFix,63|354|7|354|14|354|14|354|14|354|14|354|14|354|14|354|14|354|8|16
no,61|16
suggestFix,81|354|15|354|7|354|30|378|8
no,61|16
suggestFix,64|354|7|354|15|354|8|16
suggestFix,63|354|7|354|14|354|8|16
no,61|16
suggestFix,80|85|7|354|15|208|15|354|7|354|14|378|8|8|79|354|16
suggestFix,63|354|7|354|14|354|8|16
suggestFix,354|15|354|7|352|14|354|15|352|8
